GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:20:44.951Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-20-44-951Z

Game 129: O | GNU | clockwise > (31 turns, 57/47 moves, 0.01s)
Game 130: X | NODOTS | counterclockwise > (34 turns, 57/60 moves, 0.01s)
Game 131: X | NODOTS | counterclockwise > (34 turns, 57/54 moves, 0.01s)
Game 132: O | GNU | clockwise > (38 turns, 60/61 moves, 0.01s)
Game 133: O | GNU | clockwise > (33 turns, 56/52 moves, 0.01s)
Game 134: O | GNU | clockwise > (33 turns, 56/50 moves, 0.01s)
Game 135: X | NODOTS | counterclockwise > (39 turns, 61/63 moves, 0.01s)
Game 136: O | GNU | clockwise > (35 turns, 55/57 moves, 0.01s)
Game 137: O | GNU | clockwise > (33 turns, 60/53 moves, 0.01s)
Game 138: O | GNU | clockwise > (33 turns, 59/56 moves, 0.01s)
Game 139: X | NODOTS | counterclockwise > (39 turns, 65/65 moves, 0.01s)
Game 140: X | NODOTS | counterclockwise > (38 turns, 59/67 moves, 0.01s)
Game 141: O | GNU | clockwise > (34 turns, 56/56 moves, 0.01s)
Game 142: O | GNU | clockwise > (39 turns, 66/63 moves, 0.01s)
Game 143: X | NODOTS | counterclockwise > (31 turns, 47/55 moves, 0.01s)
Game 144: O | GNU | clockwise > (32 turns, 57/51 moves, 0.01s)
Game 145: O | GNU | clockwise > (39 turns, 63/67 moves, 0.02s)
Game 146: X | NODOTS | counterclockwise > (33 turns, 56/54 moves, 0.01s)
Game 147: X | NODOTS | counterclockwise > (32 turns, 52/49 moves, 0.01s)
Game 148: O | GNU | clockwise > (35 turns, 57/55 moves, 0.01s)
Game 149: O | GNU | clockwise > (34 turns, 52/53 moves, 0.01s)
Game 150: O | GNU | clockwise > (37 turns, 65/62 moves, 0.01s)
Game 151: X | NODOTS | counterclockwise > (38 turns, 63/60 moves, 0.01s)
Game 152: X | NODOTS | counterclockwise > (32 turns, 52/59 moves, 0.01s)
Game 153: O | GNU | clockwise > (43 turns, 69/67 moves, 0.01s)
Game 154: X | NODOTS | counterclockwise > (35 turns, 59/57 moves, 0.01s)
Game 155: X | NODOTS | counterclockwise > (35 turns, 55/57 moves, 0.01s)
Game 156: X | NODOTS | counterclockwise > (35 turns, 53/57 moves, 0.01s)
Game 157: O | GNU | clockwise > (40 turns, 65/54 moves, 0.01s)
Game 158: O | GNU | clockwise > (42 turns, 73/63 moves, 0.01s)
Game 159: O | GNU | clockwise > (31 turns, 52/51 moves, 0.01s)
Game 160: X | NODOTS | counterclockwise > (36 turns, 60/60 moves, 0.01s)
Game 161: O | GNU | clockwise > (31 turns, 56/49 moves, 0.01s)
Game 162: O | GNU | clockwise > (42 turns, 69/60 moves, 0.01s)
Game 163: O | GNU | clockwise > (37 turns, 61/63 moves, 0.01s)
Game 164: O | GNU | clockwise > (35 turns, 59/55 moves, 0.01s)
Game 165: X | NODOTS | counterclockwise > (31 turns, 49/55 moves, 0.01s)
Game 166: O | GNU | clockwise > (38 turns, 60/57 moves, 0.01s)
Game 167: X | NODOTS | counterclockwise > (30 turns, 51/52 moves, 0.01s)
Game 168: O | GNU | clockwise > (32 turns, 55/59 moves, 0.01s)
Game 169: O | GNU | clockwise > (36 turns, 61/55 moves, 0.01s)
Game 170: X | NODOTS | counterclockwise > (43 turns, 71/68 moves, 0.01s)
Game 171: O | GNU | clockwise > (40 turns, 61/66 moves, 0.01s)
Game 172: X | NODOTS | counterclockwise > (39 turns, 57/63 moves, 0.01s)
Game 173: O | GNU | clockwise > (39 turns, 69/54 moves, 0.01s)
Game 174: X | NODOTS | counterclockwise > (36 turns, 60/55 moves, 0.01s)
Game 175: O | GNU | clockwise > (38 turns, 59/57 moves, 0.01s)
Game 176: X | NODOTS | counterclockwise > (37 turns, 60/60 moves, 0.01s)
Game 177: X | NODOTS | counterclockwise > (36 turns, 64/55 moves, 0.01s)
Game 178: O | GNU | clockwise > (41 turns, 73/62 moves, 0.01s)
Game 179: O | GNU | clockwise > (41 turns, 64/56 moves, 0.01s)
Game 180: O | GNU | clockwise > (46 turns, 70/68 moves, 0.01s)
Game 181: O | GNU | clockwise > (34 turns, 56/58 moves, 0.01s)
Game 182: O | GNU | clockwise > (37 turns, 65/58 moves, 0.01s)
Game 183: O | GNU | clockwise > (34 turns, 58/56 moves, 0.01s)
Game 184: O | GNU | clockwise > (37 turns, 60/58 moves, 0.01s)
Game 185: X | NODOTS | counterclockwise > (37 turns, 60/58 moves, 0.01s)
