Game,Winner,Turns,GNU_Moves,Nodots_Moves,Duration_Seconds,Status
59,NODOTS,42,69,63,0.01,completed
60,GNU,39,65,50,0.01,completed
61,GNU,32,55,54,0.01,completed
62,GNU,30,53,47,0.01,completed
63,NODOTS,25,42,45,0.01,completed
64,NODOTS,37,60,62,0.02,completed
65,NODOTS,32,50,53,0.01,completed
66,GNU,33,62,56,0.01,completed
67,GNU,31,54,51,0.01,completed
68,GNU,33,54,54,0.01,completed
69,GNU,34,58,53,0.01,completed
70,GNU,40,62,64,0.01,completed
71,NODOTS,37,58,62,0.01,completed
72,GNU,42,68,70,0.01,completed
73,NODOTS,36,58,57,0.01,completed
74,GNU,36,64,59,0.01,completed
75,GNU,30,54,51,0.01,completed
76,GNU,30,55,46,0.01,completed
77,GNU,31,56,44,0.01,completed
78,GNU,34,57,51,0.01,completed
79,NODOTS,31,47,55,0.01,completed
80,GNU,35,56,55,0.01,completed
81,GNU,38,62,56,0.01,completed
82,GNU,37,62,62,0.01,completed
83,GNU,34,54,53,0.01,completed
84,NODOTS,45,70,70,0.01,completed
85,GNU,34,54,56,0.01,completed
86,GNU,39,63,55,0.01,completed
87,GNU,42,69,69,0.01,completed
88,GNU,42,67,63,0.01,completed
89,GNU,34,59,45,0.01,completed
90,GNU,33,56,47,0.01,completed
91,NODOTS,29,46,49,0.01,completed
92,GNU,35,60,55,0.01,completed
93,GNU,36,58,51,0.01,completed
94,NODOTS,31,49,51,0.01,completed
95,GNU,32,56,50,0.01,completed
96,GNU,36,61,55,0.01,completed
97,GNU,33,58,48,0.01,completed
98,GNU,38,65,62,0.01,completed
99,NODOTS,32,52,53,0.01,completed
100,GNU,39,69,52,0.01,completed
101,GNU,34,56,53,0.01,completed
102,GNU,35,56,56,0.01,completed
103,NODOTS,31,49,49,0.01,completed
104,GNU,38,60,62,0.01,completed
105,GNU,34,57,54,0.01,completed
106,GNU,42,70,64,0.01,completed
107,GNU,29,52,41,0.01,completed
108,NODOTS,37,54,61,0.01,completed
109,GNU,34,56,61,0.01,completed
110,GNU,36,55,57,0.01,completed
111,GNU,39,67,62,0.01,completed
112,GNU,29,52,44,0.01,completed
113,GNU,36,55,56,0.01,completed
114,GNU,39,62,65,0.01,completed
115,NODOTS,27,41,49,0.01,completed
116,GNU,32,53,54,0.01,completed
117,NODOTS,35,53,57,0.01,completed
118,GNU,43,70,60,0.01,completed
119,GNU,44,70,67,0.01,completed
120,NODOTS,35,55,60,0.01,completed
121,GNU,42,72,60,0.01,completed
122,GNU,38,64,60,0.01,completed
123,GNU,41,65,62,0.01,completed
124,GNU,39,74,57,0.01,completed
125,NODOTS,32,52,57,0.01,completed
126,GNU,38,65,58,0.01,completed
127,GNU,31,53,49,0.01,completed
128,NODOTS,40,66,65,0.01,completed
129,GNU,38,63,61,0.01,completed
130,GNU,40,66,65,0.01,completed
131,NODOTS,37,58,64,0.01,completed
132,GNU,31,54,47,0.01,completed
133,GNU,28,47,46,0.01,completed
134,GNU,38,62,60,0.01,completed
135,GNU,29,51,46,0.01,completed
136,GNU,45,70,63,0.01,completed
137,GNU,29,52,44,0.01,completed
138,GNU,35,55,55,0.01,completed
139,GNU,39,66,62,0.01,completed
140,GNU,36,58,48,0.01,completed
141,GNU,31,53,47,0.01,completed
142,NODOTS,41,64,64,0.01,completed
143,NODOTS,41,62,66,0.01,completed
144,GNU,40,69,65,0.01,completed
145,GNU,37,63,58,0.01,completed
146,NODOTS,40,64,65,0.01,completed
147,GNU,44,73,64,0.01,completed
148,GNU,38,62,62,0.01,completed
149,GNU,38,62,58,0.01,completed
150,GNU,40,66,60,0.01,completed
151,GNU,36,59,47,0.01,completed
152,GNU,32,58,55,0.01,completed
153,NODOTS,27,47,48,0.01,completed
154,GNU,33,54,51,0.01,completed
155,GNU,41,68,62,0.01,completed
156,GNU,38,65,62,0.01,completed
157,NODOTS,38,61,62,0.01,completed
158,NODOTS,47,71,71,0.01,completed
159,GNU,34,55,55,0.01,completed
160,GNU,35,59,55,0.01,completed
161,NODOTS,33,54,58,0.01,completed
162,GNU,36,62,58,0.01,completed
163,GNU,39,61,61,0.01,completed
164,NODOTS,36,58,58,0.01,completed
165,GNU,44,67,65,0.01,completed
166,NODOTS,32,58,54,0.01,completed
167,GNU,39,65,63,0.01,completed
168,GNU,31,53,45,0.01,completed
169,NODOTS,31,55,56,0.01,completed
170,NODOTS,36,62,61,0.01,completed
171,GNU,35,60,57,0.01,completed
