GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:21:42.751Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-21-42-750Z

Game 244: X | NODOTS | counterclockwise > (29 turns, 46/56 moves, 0.01s)
Game 245: X | NODOTS | counterclockwise > (31 turns, 51/53 moves, 0.01s)
Game 246: O | GNU | clockwise > (37 turns, 64/61 moves, 0.01s)
Game 247: O | GNU | clockwise > (34 turns, 56/58 moves, 0.01s)
Game 248: X | NODOTS | counterclockwise > (28 turns, 48/51 moves, 0.01s)
Game 249: O | GNU | clockwise > (34 turns, 58/55 moves, 0.01s)
Game 250: O | GNU | clockwise > (36 turns, 56/51 moves, 0.01s)
Game 251: X | NODOTS | counterclockwise > (34 turns, 59/58 moves, 0.01s)
Game 252: O | GNU | clockwise > (35 turns, 57/52 moves, 0.01s)
Game 253: O | GNU | clockwise > (50 turns, 79/75 moves, 0.01s)
Game 254: O | GNU | clockwise > (29 turns, 58/42 moves, 0.01s)
Game 255: O | GNU | clockwise > (33 turns, 60/48 moves, 0.01s)
Game 256: O | GNU | clockwise > (36 turns, 64/61 moves, 0.01s)
Game 257: O | GNU | clockwise > (41 turns, 67/62 moves, 0.01s)
Game 258: X | NODOTS | counterclockwise > (35 turns, 53/60 moves, 0.01s)
Game 259: X | NODOTS | counterclockwise > (41 turns, 64/67 moves, 0.01s)
Game 260: X | NODOTS | counterclockwise > (34 turns, 53/54 moves, 0.01s)
Game 261: O | GNU | clockwise > (28 turns, 52/44 moves, 0.01s)
Game 262: O | GNU | clockwise > (32 turns, 57/50 moves, 0.01s)
Game 263: O | GNU | clockwise > (36 turns, 62/50 moves, 0.01s)
Game 264: O | GNU | clockwise > (34 turns, 55/57 moves, 0.01s)
Game 265: X | NODOTS | counterclockwise > (33 turns, 48/55 moves, 0.01s)
Game 266: O | GNU | clockwise > (29 turns, 51/46 moves, 0.01s)
Game 267: O | GNU | clockwise > (33 turns, 57/50 moves, 0.01s)
Game 268: O | GNU | clockwise > (37 turns, 64/54 moves, 0.01s)
Game 269: O | GNU | clockwise > (38 turns, 63/63 moves, 0.01s)
Game 270: O | GNU | clockwise > (38 turns, 60/57 moves, 0.01s)
Game 271: O | GNU | clockwise > (38 turns, 63/63 moves, 0.01s)
Game 272: O | GNU | clockwise > (38 turns, 62/61 moves, 0.01s)
Game 273: O | GNU | clockwise > (34 turns, 58/53 moves, 0.01s)
Game 274: O | GNU | clockwise > (38 turns, 65/57 moves, 0.01s)
Game 275: O | GNU | clockwise > (37 turns, 60/54 moves, 0.01s)
Game 276: X | NODOTS | counterclockwise > (40 turns, 66/67 moves, 0.01s)
Game 277: O | GNU | clockwise > (30 turns, 53/47 moves, 0.01s)
Game 278: O | GNU | clockwise > (30 turns, 52/44 moves, 0.01s)
Game 279: O | GNU | clockwise > (31 turns, 50/47 moves, 0.01s)
Game 280: X | NODOTS | counterclockwise > (40 turns, 66/61 moves, 0.01s)
Game 281: X | NODOTS | counterclockwise > (42 turns, 65/67 moves, 0.01s)
Game 282: O | GNU | clockwise > (30 turns, 54/48 moves, 0.01s)
Game 283: O | GNU | clockwise > (32 turns, 58/46 moves, 0.01s)
Game 284: O | GNU | clockwise > (29 turns, 54/41 moves, 0.01s)
Game 285: O | GNU | clockwise > (37 turns, 63/60 moves, 0.01s)
Game 286: X | NODOTS | counterclockwise > (35 turns, 51/61 moves, 0.02s)
Game 287: X | NODOTS | counterclockwise > (37 turns, 58/60 moves, 0.01s)
Game 288: O | GNU | clockwise > (36 turns, 57/54 moves, 0.01s)
Game 289: O | GNU | clockwise > (36 turns, 59/53 moves, 0.01s)
Game 290: O | GNU | clockwise > (35 turns, 66/55 moves, 0.01s)
Game 291: O | GNU | clockwise > (39 turns, 67/60 moves, 0.02s)
Game 292: O | GNU | clockwise > (35 turns, 57/55 moves, 0.03s)
Game 293: O | GNU | clockwise > (42 turns, 66/63 moves, 0.01s)
Game 294: X | NODOTS | counterclockwise > (22 turns, 37/42 moves, 0.01s)
Game 295: O | GNU | clockwise > (34 turns, 63/50 moves, 0.01s)
Game 296: X | NODOTS | counterclockwise > (35 turns, 55/60 moves, 0.01s)
Game 297: O | GNU | clockwise > (41 turns, 72/66 moves, 0.01s)
Game 298: O | GNU | clockwise > (44 turns, 73/66 moves, 0.01s)
Game 299: X | NODOTS | counterclockwise > (29 turns, 44/53 moves, 0.01s)
Game 300: X | NODOTS | counterclockwise > (37 turns, 54/60 moves, 0.01s)
Game 301: O | GNU | clockwise > (32 turns, 56/48 moves, 0.01s)
Game 302: X | NODOTS | counterclockwise > (33 turns, 54/56 moves, 0.01s)
Game 303: X | NODOTS | counterclockwise > (31 turns, 51/49 moves, 0.01s)
Game 304: X | NODOTS | counterclockwise > (33 turns, 52/60 moves, 0.01s)
Game 305: O | GNU | clockwise > (43 turns, 69/63 moves, 0.01s)
Game 306: X | NODOTS | counterclockwise > (31 turns, 47/52 moves, 0.01s)
Game 307: O | GNU | clockwise > (34 turns, 59/53 moves, 0.01s)
Game 308: O | GNU | clockwise > (37 turns, 62/53 moves, 0.01s)
Game 309: O | GNU | clockwise > (35 turns, 68/49 moves, 0.01s)
Game 310: X | NODOTS | counterclockwise > (31 turns, 49/59 moves, 0.01s)
Game 311: O | GNU | clockwise > (40 turns, 61/63 moves, 0.01s)
Game 312: X | NODOTS | counterclockwise > (31 turns, 49/59 moves, 0.01s)
Game 313: X | NODOTS | counterclockwise > (40 turns, 72/68 moves, 0.01s)
Game 314: O | GNU | clockwise > (41 turns, 69/67 moves, 0.01s)
Game 315: X | NODOTS | counterclockwise > (40 turns, 64/68 moves, 0.01s)
Game 316: O | GNU | clockwise > (39 turns, 67/62 moves, 0.02s)
